business_name,entity_type,address,city,state,zip
"FLORIDA PROBATE TRIAL LAWYERS, PA",IDOMP,2245 MCGREGOR BLVD                                                                  FT. MYERS,FL33901     US2245 MCGREGOR BLVD,,
"FLORIDA TRIAL FIRM, PLLC",IFLAL,412 E Madison St                          Suite 903                                 Tampa,FL33602     US412 E Madison St,,Suite 903
FLORIDA TRIAL LAW GROUP LLC,AFLAL,407 N. HOWARD AVE.                        100                                       TAMPA,FL33606       407 N. Howard Ave,,
"FMAN & LYND-PERSONAL INJURY AND ACCIDENT ATTORNEYS, PLLC",AFLAL,200 E ROBINSON ST                                                                   ORLANDO,FL32801     US200 E ROBINSON ST,,
"G ACCIDENT & EMERGENCY MEDICINE SPECIALISTS, P.A.",ADOMP,120 PONTE VEDRA EAST BOULEVARD                                                      PONTE VEDRA BEAC,H           FL32082       120 PONTE VEDRA EAST BOU,LEVARD,
"G PERSONAL INJURY GROUP, P.A.",ADOMP,326 N. BROAD STREET                       SUITE 101                                 JACKSONVILLE,FL32202     US326 N. BROAD STREET,,SUITE 101
"GADO TRIAL ATTORNEYS, P.A.",ADOMP,10631 N. KENDALL DRIVE                    SUITE 130                                 MIAMI,FL33176       10631 N. KENDALL DRIVE,,SUITE 130
GAL LAW: FLORIDA ACCIDENT LAWYERS AND PERSONAL INJURY ATTORNEYS PLLC,AFLAL,638 BROADWAY AVE                          SUITE #200                                ORLANDO,FL32803     US638 BROADWAY AVE,,SUITE #200
"GAN & MORGAN BUSINESS TRIAL GROUP, PLLC",AFLAL,"20 N. ORANGE AVENUE, SUITE 1600                                                     ORLANDO","FL32801     US20 N. ORANGE AVENUE, SUI",TE 1600,
"GAN & MORGAN CLASSACTION LITIGATION GROUP, PLLC",AFLAL,"20 N. ORANGE AVENUE, SUITE 1600                                                     ORLANDO","FL32801     US20 N. ORANGE AVENUE, SUI",TE 1600,
"GAN & MORGAN COMPLEX LITIGATION GROUP, PLLC",AFLAL,"20 N. ORANGE AVENUE, SUITE 1600                                                     ORLANDO","FL32801     US20 N. ORANGE AVENUE, SUI",TE 1600,
"GAN & MORGAN COMPLEX LITIGATION SERVICES, P.A.",ADOMP,"20 N. ORANGE AVE., STE. 1600                                                        ORLANDO","FL32801     US20 N. ORANGE AVE., STE.",1600,
"GAN & MORGAN CONSUMER PROTECTION LITIGATION GROUP, PLLC",AFLAL,"20 N. ORANGE AVENUE, SUITE 1600                                                     ORLANDO","FL32801     US20 N. ORANGE AVENUE, SUI",TE 1600,
"GAN & MORGAN MASS TORT LITIGATION GROUP, PLLC",AFLAL,"20 N. ORANGE AVENUE, SUITE 1600                                                     ORLANDO","FL32801     US20 N. ORANGE AVENUE, SUI",TE 1600,
"GAN & MORGAN MESOTHELIOMA LITIGATION GROUP, PLLC",AFLAL,"20 N. ORANGE AVENUE, SUITE 1600                                                     ORLANDO","FL32801     US20 N. ORANGE AVENUE, SUI",TE 1600,
"GAN & MORGAN QUI TAM LITIGATION GROUP, PLLC",AFLAL,20 N. ORANGE AVE STE 1600                                                           ORLANDO,FL32801     US20 N. ORANGE AVE STE 160,0,
"GAN TRIAL LAW, P.A.",ADOMP,906 Poinciana Lane                                                                  WINTER PARK,FL32789     US906 Poinciana Lane,,
"GES INJURY LAW, P.A.",ADOMP,836 Highland Avenue                                                                 Orlando,FL32803     US30301 Gidran Terrace,,
GLER INJURY LAW PLLC,AFLAL,5949 MACY AVENUE                                                                    JACKSONVILLE,FL32211     US5949 MACY AVENUE,,
"HAM INJURY FIRM, P.A.",ADOMP,110 SE 6th Street                         Suite 1743                                Fort Lauderdale,FL33301     US110 SE 6th Street,,Suite 1743
"HAT INJURY LAW, P.A.",ADOMP,1200 RIVERPLACE BLVD.                     SUITE 902                                 JACKSOVILLE,FL32207     US1200 RIVERPLACE BLVD.,,SUITE 902
"HOLLIDAY TRIAL FIRM, PLLC",AFLAL,15316 CORTEZ BLVD                                                                   BROOKSVILLE,FL34613     US15316 CORTEZ BLVD,,
HOLSON INJURY LAW PA,IDOMP,711 NORTH ORLANDO AVENUE                                                            MAITLAND,FL32751     US711 NORTH ORLANDO AVENUE,,
"HOSPITAL INJURY LAW FIRM, PLLC",IFLAL,2260 FIFTH AVENUE SOUTH                   SUITE 2                                   ST. PETERSBURG,FL33712     US2260 FIFTH AVENUE SOUTH,,SUITE 2
"IA TRIAL LAWYERS, PA",IDOMP,92 Seabreeze Circle                                                                 Seacrest,FL32461     US92 Seabreeze Circle,,
"IABLE LITIGATION SOLUTIONS, P.A.",IDOMP,5324 TWIN CREEKS DRIVE                                                              VALRICO,FL33598     US5324 TWIN CREEKS DRIVE,,
"IAL JUSTICE LAW COLLECTIVE, PL",AFLAL,974 HOWARD AVE.                                                                     DUNEDIN,FL34698     US974 HOWARD AVE.,,
"IAL JUSTICE LEGAL RESOURCES, LLC",IFLAL,8845 HARLAND AVENUE                                                                 ORLANDO,FL32836     USPO BOX 1054,,
"IAN RIVER INJURY & REHAB CENTER, P.A.",IDOMP,706 SOUTH 6TH STREET                                                                FORT PIERCE,FL34950       706 SOUTH 6TH STREET,,
"IAN TRIAL LAW, P.A.",ADOMP,2805 TROPICAL AVE                                                                   VERO BEACH,FL32960     US2805 TROPICAL AVE,,
"ICAL & INJURY CENTERS OF FLORIDA, P.C.",IFORP,4809 N. Armenia Ave                       Suite 210                                 Tampa,FL33603     US3060 Peachtree St,,
ICAL JUSTICE LEGAL INSURANCE COMPANY,IDOMP,ONE STAUNTON CT                                                                     GREENSBORO,NC27410       ONE STAUNTON CT,,
"ICAL MALPRACTICE LAW CENTER, P.A.",IDOMP,5499 N. FEDERAL HIGHWAY                   SUITE J                                   BOCA RATON,FL33487     UN5499 N. FEDERAL HIGHWAY,,SUITE J
"ICAL-LEGAL LITIGATION CONSULTANTS, INC.",IDOMP,250 BIRD RD                               SUITE 302                                 CORAL GABLES,FL33146       250 BIRD RD,,SUITE 302
"ICK LITIGATION, P.A.",IDOMP,313 JOHNSON STREET                                                                  TALLAHASSEE,FL32303     US313 JOHNSON STREET,,
"ID FRANK INJURY LAW, P.A.",IDOMP,1584 METROPOLITAN BLVD                    STE 102                                   TALLAHASSEE,FL32308       1584 METROPOLITAN BLVD,,STE 102
"ID HUGHES HARRIS, TRIAL LAWYER, PL",IFLAL,"8670 WESLEYAN DR., STE. 314                                                         FT MYERS","FL33919       8670 WESLEYAN DR., STE.",314,
"IDENT & INJURY ATTORNEY HOTLINE, INC.",IDOMP,11565 MIZZON DR.                          SUITE 803                                 WINDERMERE,FL34786       11565 MIZZON DR.,,SUITE 803
"IDENT & INJURY ATTORNEYS OF CALDWELL & VILES, P.A.",IDOMP,4415 METRO PARKWAY                        SUITE 200                                 FORT MYERS,FL33916       4415 METRO PARKWAY,,SUITE 200
"IDENT & INJURY LAWYERS, P.A.",IDOMP,701 BRICKELL KEY BOULEVARD                CU-1                                      MIAMI,FL33131       701 BRICKELL KEY BOULEVA,RD,CU-1
"IDENT & PERSONAL INJURY LAW CENTER, P.A.",ADOMP,"3800 S. OCEAN DRIVE, #222                                                           HOLLYWOOD","FL33019     US3800 S. OCEAN DRIVE, #22",2,
IDENT AND INJURY LEGAL CENTER PROFESSIONAL ASSOCIATION,IDOMP,7765 N.W. 19TH COURT                                                                PEMBROKE PINES,FL33024     US7765 N.W. 19TH COURT,,
"IDENT INJURY LAW, L.L.C.",IFLAL,28 W. FLAGLER ST. #1200-C                                                           MIAMI,FL33130     UN28 W. FLAGLER ST. #1200-,C,
"IDENT INJURY LEGAL CENTER, P.A.",IDOMP,3711 W. AZEELE ST.                                                                  TAMPA,FL33609       3711 W. AZEELE ST.,,
"IDENT INJURY LEGAL TEAM, P.A.",IDOMP,1911 NE 164TH ST.                                                                   N. MIAMI BCH,FL33162       1911 NE 164TH ST.,,
IDENT PLUS INJURY CARE ALTAMONTE PLLC,IFLAL,1367 Beville Rd                                                                     Daytona Beach,FL32119     US6903 VINTAGE LANE,,
"IDENT TRIAL ATTORNEYS OF CENTRAL FLORIDA, INC.",IDOMP,"% JACK F. DURIE, JR.                      200 E. ROBINSON ST, #1250                 ORLANDO","FL32801       % JACK F. DURIE, JR.",,200 E. ROBIN
"IDENT TRIAL ATTORNEYS OF SOUTH FLORIDA, INC.",IDOMP,"% JACK F. DURIE, JR.                      200 E. ROBINSON ST, STE 1250              ORLANDO","FL32801       % JACK F. DURIE, JR.",,200 E. ROBIN
"IDENT TRIAL ATTORNEYS, INC.",IDOMP,"% JACK F. DURIE, JR.                      200 E. ROBINSON ST, #1250                 ORLANDO","FL32801       % JACK F. DURIE, JR.",,200 E. ROBIN
"IDENTAL INJURY LAW FIRM, P.A.",IDOMP,6474 FIRST AVENUE NORTH                                                             ST. PETERSBURG,FL33710       6474 FIRST AVENUE NORTH,,
"IETY OF WOMEN TRIAL LAWYERS, LLC",AFLAL,513 DRACENA WAY                                                                     GULF BREEZE,FL32561     US513 DRACENA WAY,,
"IGRANT JUSTICE CENTER, P.A.",IDOMP,200 S. BISCAYNE BLVD.                     SUITE # 4650                              MIAMI,FL33131     US200 S. BISCAYNE BLVD.,,SUITE # 4650
IGRATION AND JUSTICE LAW FIRM LLC,IFLAL,790 NW 107TH AVENUE                       300                                       MIAMI,FL33172       790 NW 107TH AVENUE,,300
"IL JUSTICE FIRM, P.A.",ADOMP,221 W Hallandale Beach Blvd #207                                                    HALLANDALE,FL33009     US221 W Hallandale Beach B,lvd #207,
"IL JUSTICE LAW CENTER, P.A.",IDOMP,2851 NE 183RD STREET                      APT #806                                  AVENTURA,FL33160     US2851 NE 183RD STREET,,APT #806
"IL JUSTICE LAW CENTER, PLLC",IFLAL,2101 VISTA PARKWAY                        SUITE 4034                                WEST PALM BEACH,FL33411       2101 VISTA PARKWAY,,SUITE 4034
"IL JUSTICE LAW FIRM, P.A.",IDOMP,2875 NE 191 Street                        suite 500                                 AVENTURA,FL33180     US2875 NE 191 Street,,suite 500
"IL TRIAL PRACTICE, P.A.",ADOMP,152 NE 167TH STREET                       300                                       NORTH MIAMI BEAC,H           FL33162     US152 NE 167TH STREET,,300
"ILA INJURY ATTORNEYS, PLLC",IFLAL,"2170 W STATE RD 434, SUITE 450                                                      LONGWOOD","FL32779     UN2170 W STATE RD 434, SUI",TE 450,
IN LITIGATION PLLC,AFLAL,6100 Hollywood Blvd.                                                                Hollywood,FL33024     US6100 Hollywood Blvd.,,
"IN SPARKMAN INJURY LAW, LLC",AFLAL,11213 LAUREL BROOK CT.                                                              RIVERVIEW,FL33569       11213 LAUREL BROOK CT.,,
"INA LAW FIRM, P.A. - TRIAL ATTORNEYS",ADOMP,325 SOUTH BOULEVARD                                                                 TAMPA,FL33606     US325 SOUTH BOULEVARD,,
"INER TRIAL LAW, P.A.",IDOMP,8004 NW 154 Street                                                                  MIAMI Lakes,FL33016     US8004 NW 154 Street,,
"INESS LAW AND LITIGATION, P.A.",IDOMP,4300 BISCAYNE BLVD.                                                                 MIAMI,FL33137       PO BOX 531097,,
"INISHED VALUE CLAIMS LAW FIRM, P.A.",ADOMP,9862 PALMA VISTA WAY                                                                BOCA RATON,FL33428     US9862 PALMA VISTA WAY,,
"INJURY ATTORNEYS, P.L.",IFLAL,2245 MCGREGOR BOULEVARD                                                             FORT MYERS,FL33901       2245 MCGREGOR BOULEVARD,,
"INJURY FIRM, P.A.",ADOMP,970 SW 17th Street                                                                  Boca raton,FL33486     US970 SW 17th Street,,
"INJURY LAW CENTER OF ROBERT SHAPIRO, P.A.",IDOMP,15291 NW 60 AVENUE                        SUITE 100                                 MIAMI LAKES,FL33014       P.O. BOX 141106,,
INJURY LAW CENTER P.A.,IDOMP,"ABRAHAMSON & UITERWYK, P.A.               3040 GULF TO BAY BLVD                     CLEARWATER","FL34619       ABRAHAMSON & UITERWYK, P",.A.,3040 GULF TO
INJURY LAW CENTER P.A.,IDOMP,4826 N. FEDERAL HWY                                                                 FT. LAUDERDALE,FL33308-4606  4826 N. FEDERAL HWY,,
"INJURY LAW FIRM, PA",ADOMP,301 W Atlantic Ave                                                                  Delray Beach,FL33444     US6357 BRANCHWOOD DRIVE,,
"INJURY LAW FIRM, PLLC",AFLAL,3903 NORTHDALE BLVD                       SUITE 100E                                TAMPA,FL33624     US3903 NORTHDALE BLVD,,SUITE 100E
"INJURY LAW GROUP, P.A.",ADOMP,7480 SW 40TH STREET                       STE #660                                  MIAMI,FL33155     US7480 SW 40TH STREET,,STE #660
"INJURY LAW OFFICES OF JOHN T. KENNEDY, P.A.",IDOMP,477 RIVERSIDE DRIVE                                                                 STUART,FL34994       477 RIVERSIDE DRIVE,,
INJURY LAW PA,IDOMP,610 E ZACK STREET                         SUITE 110-3060                            TAMPA,FL33602       610 E ZACK STREET,,SUITE 110-30
INJURY LAW PLLC,AFLAL,2030 S DOUGLAS RD                         STE 214                                   CORAL GABLES,FL33134     UN2030 S DOUGLAS RD,,STE 214
INJURY LAW PLLC,IFLAL,"8725 NW 18TH TERR, STE. 219                                                         DORAL",FL33172     USPO BOX 161005-ARIAS,,
"INJURY LAW TEAM, LLC",AFLAL,621 NW 53rd Street                        Suite 125                                 Boca Raton,FL33487     US621 NW 53rd Street,,Suite 125
"INJURY LAW, P.A.",IDOMP,520 2nd Ave. S.                                                                     Saint Petersburg,FL33701     US520 2nd Ave. S.,,
"INJURY LAW, PLLC",AFLAL,1 EAST BROWARD BLVD.                      SUITE 700                                 FORT LAUDERDALE,FL33301     US1 East Broward Blvd.,,Suite 700
INJURY LAWYERS LLC,IFLAL,4419 PARK BLVD                                                                      PINELLAS PARK,FL33781     US4419 PARK BLVD,,
"INJURY TEAM, P.A.",IDOMP,390 N. ORANGE AVENUE                      23RD FLOOR                                ORLANDO,FL32801     US390 N. ORANGE AVENUE,,23RD FLOOR
"INO INJURY LAW, P.A.",ADOMP,19251 NW 12TH MANOR                                                                 PEMBROKE PINES,FL33029     US19251 NW 12TH MANOR,,
"INSKY NEIMAND TRIAL FIRM, P.A.",ADOMP,1835 NE MIAMI GARDENS DR                  STE 151                                   NORTH MIAMI BEAC,H           FL33179     US1835 NE MIAMI GARDENS DR,,STE 151
"INSON TRIAL LAWYERS, P.A.",ADOMP,"11555 HERON BAY BLVD , SUITE 200                                                    CORAL SPRINGS","FL33076     US11555 HERON BAY BLVD, SU",ITE 200,
IONAL BRAIN INJURY LAWYERS LLC,IFLAL,123 SAN CHEZ DR                                                                     SAINT PETERSBURG,FL33715     US123 SAN CHEZ DR,,
"IONAL INJURY LAW, PLLC",AFLAL,1500 NW 89TH CT                           STE 119                                   DORAL,FL33172       1500 NW 89TH CT,,STE 119
"IONAL INSTITUTE FOR LEGAL MALPRACTICE, INC.",IDOMP,2255 GLADES RD #118 E.                                                              BOCA RATON,FL33431       2255 GLADES RD #118 E.,,
"IONAL LITIGATION LAW GROUP, LLC",IFORL,2401 NW 23RD STREET STE 42                                                          OKLAHOMA CITY,OK73107     US2401 NW 23RD STREET STE,42,
"IONAL MEDICO-LEGAL MALPRACTICE CONSULTANTS, INC.",IDOMP,% SHELDON P. DAVIS                        315 MADISON STREET SUITE 720              TAMPA,FL33602       % SHELDON P. DAVIS,,315 MADISON
IONWIDE INJURY LAW PLLC,IFLAL,5401 S. KIRKMAN ROAD                      725                                       ORLANDO,FL32819     US5401 S. KIRKMAN ROAD,,725
"IOR JUSTICE LAW FIRM, LLC",AFORL,7700 CONGRESS AVE.                        SUITE 3216                                BOCA RATON,FL33487       7700 CONGRESS AVE.,,SUITE 3216
"IOR JUSTICE LAW FIRM, PLLC",IFLAL,"7700 CONGRESS AVE, SUITE 3216                                                       BOCA RATON","FL33487     US7700 CONGRESS AVE, SUITE",3216,
IR INJURY & CRIMINAL DEFENSE LAW PLLC,AFLAL,3530 1ST AVE. NORTH SUITE 105                                                       SAINT PETERSBURG,FL33713-8436US3530 1ST AVE. NORTH SUIT,E 105,
"IS TRIAL LAW, PLLC",AFLAL,6586 HYPOLUXO ROAD #311                                                             LAKE WORTH,FL33467       6586 HYPOLUXO ROAD #311,,
"ITIME INJURY LAW CENTER, P.A.",IDOMP,1939 Tyler Street                                                                   HOLLYWOOD,FL33020     US1939 Tyler Street,,
IZENS FOR JUSTICE IN THE LEGAL SYSTEM INC.,IDOMNP,7810 S.W. 54TH AVE.                       P.O.BOX 013236                            MIAMI,FL33101-3236  7810 S.W. 54TH AVE.,,P.O.BOX 0132
"JILLO CIVIL LITIGATION, P.A.",ADOMP,9800 FOURTH STREET NORTH                  108                                       ST. PETERSBURG,FL33702       3903 W. SEVILLA STREET,,
"JUSTICE ADVOCACY GROUP, P.A.",IDOMP,"80 SOUTH WEST 8TH STREET                  2,000                                     MIAMI",FL33130       80 SOUTH WEST 8TH STREET,,"2,000"
"JUSTICE CLINIC, P.A.: A LAW FIRM",IDOMP,P.O. BOX 873                                                                        GAINESVILLE,FL32602       P.O. BOX 873,,
"JUSTICE GROUP, PLLC",AFLAL,1825 NW CORPORATE BLVD                    SUITE 110                                 BOCA RATON,FL33431     UN1825 NW CORPORATE BLVD,,SUITE 110
"JUSTICE LAW FIRM, OFFICES OF JOSEPH F. JUSTICE P.A.",IDOMP,3632 LAND O LAKES BLVD                    Suite 105                                 LAND O' LAKES,FL34639     US3632 Land O' Lakes Blvd,,Suite 105
"JUSTICE LAW FIRM, P.A.",IDOMP,4735 SUNBEAM ROAD                                                                   JACKSONVILLE,FL32257       4735 SUNBEAM ROAD,,
"JUSTICE LAW TEAM, PA",IDOMP,805 EXECUTIVE CENTER DRIVE WEST           SUITE 105                                 ST PETERSBURG,FL33702     USPO BOX 15157,,
"JUSTICE LEAGUE OF FLORIDA, PLLC",AFLAL,100 LINCOLN RD                            #1205                                     MIAMI BEACH,FL33139       100 LINCOLN RD,,#1205
"JUSTICE LEGAL GROUP LITIGATION FIRM, P. A.",IDOMP,319 CLEMATIS STREET                       209                                       WEST PALM BEACH,FL33401     US319 CLEMATIS STREET,,209
"K COUNTY TRIAL LAWYERS ASSOCIATION, INC.",ADOMNP,415 East Main Street                                                                Bartow,FL33830     USPost Office Box 1061,,
"K INJURY LEGAL CENTER, INC.",IDOMP,299 ALHAMBRA CIRCLE                       SUITE 316                                 CORAL GABLES,FL33134       299 ALHAMBRA CIRCLE,,SUITE 316
"KE TRIAL LAW, P.A.",ADOMP,401 E. JACKSON STREET                     SUITE 2340                                TAMPA,FL33602     US401 E. JACKSON STREET,,SUITE 2340
"KET AND ACCIDENT LAWYERS, PLLC",IFLAL,633 SOUTH ANDREWS AVE                     SUITE  # 101                              FORT. LAUDERDALE,FL33301     US633 SOUTH ANDREWS AVE,,SUITE  # 101
KEYLOPEZ GOVERNMENT LAW OF JUSTICE INC,IDOMP,7510 MARYLAND AVENUE                                                                HUDSON,FL34667       7510 MARYLAND AVENUE,,
KEYLOPEZ GOVERNMENT LAW OF JUSTICE INC.,IDOMP,7510 MARYLAND AVE UNIT 28                                                           HUDSON,FL34667     US7510 MARYLAND AVE UNIT 6,,
"KIN LITIGATION GROUP, P.A.",IDOMP,6720 Atlantic Blvd.                                                                 Jacksonville,FL32211     USPO BOX 477,,
"KINS INJURY GROUP, P.A.",ADOMP,302 S. SECOND ST.                                                                   FT. PIERCE,FL34950       2931 North Indian River,Drive,
"KLEINER LEGAL AND LITIGATION SUPPORT SERVICES, INC.",IDOMP,905 SW 9 TERRACE                                                                    FT LAUDERDALE,FL33315       905 SW 9 TERRACE,,
"KLEY, SEACORD & JUSTICE, P.A.",ADOMP,111 N Orange Ave                                                                    ORLANDO,FL32801     USP.O. BOX 4922,,
"KMAN INJURY LAW, PLLC",AFLAL,"633 S Andrews Ave, Ste 401                                                          FORT LAUDERDALE","FL33301     US633 S Andrews Ave, Ste 4",01,
KOVICH INJURY LAW FIRM LLC,IFLAL,901 PONCE DE LEON BLVD                    604                                       CORAL GABLES,FL33134     US901 PONCE DE LEON BLVD,,604
L TRIAL GROUP PLLC,AFLAL,1560 N. ORANGE AVE                        ST. 300                                   WINTER PARK,FL32789     US1560 N. ORANGE AVE,,ST. 300
"L TRIAL LAWYERS, P.A.",IDOMP,2665 SOUTH BAYSHORE DRIVE                 PENTHOUSE ONE                             MIAMI,FL33133     UN2665 SOUTH BAYSHORE DRIV,E,PENTHOUSE ON
"LA COSTA INJURY LAW, P.A.",IDOMP,46 NORTH WASHINGTON BLVD #13                                                        SARASOTA,FL34236       46 NORTH WASHINGTON BLVD,#13,
LAW JUSTICE INC,ADOMNP,6810 LYONS TECHNOLOGY CIR                 STE 165                                   COCONUT CREEK,FL33073     US6810 LYONS TECHNOLOGY CI,R,STE 165
"LAW OFFICES OF JOSEPH F. JUSTICE, LLC",IFLAL,1190 WENDY CT                             SUITE 2                                   SPRING HILL,FL34607     US1190 WENDY CT,,SUITE 2
"LAWYERS ACCIDENT GROUP, P.A.",IDOMP,3157 JOHNSON ST.                                                                    HOLLYWOOD,FL33021       3157 JOHNSON ST.,,
"LD JUSTICE & LEGAL CENTERS, INC.",ADOMNP,1645 Sun City Center Plaza                                                          Sun City Center,FL33573     USPO Box 5571,,
"LD JUSTICE & LEGAL CENTERS, INC.",IFORNP,235 APOLLO BEACH BLVD.                    SUITE:431                                 APOLLO BEACH,FL33572     US235 APOLLO BEACH BLVD.,,SUITE:431
"LEGAL JUSTICE LAW FIRM, P.A.",ADOMP,1238 E. CONCORD STREET                                                              ORLANDO,FL32803       1238 E. CONCORD STREET,,
"LER TAMAYO AND GRAHAM INJURY LAWYERS, PLLC",IFLAL,11093 NW 138TH STREET                     SUITE 112                                 HIALEAH GARDENS,FL33018       11093 NW 138TH STREET,,SUITE 112
"LEY & UUSTAL TRIAL ATTORNEYS, PLLC",IFLAL,500 NORTH FEDERAL HIGHWAY                 SUITE 200                                 FORT LAUDERDALE,FL33301     US500 NORTH FEDERAL HIGHWA,Y,SUITE 200
"LEY DOLMAN PERSONAL INJURY LAWYERS, P.A.",IDOMP,20807 BISCAYNE BOULEVARD                  100                                       AVENTURA,FL33180       20807 BISCAYNE BOULEVARD,,100
"LEY TRIAL LAW, PLLC",IFLAL,401 E LAS OLAS BLVD.                      1400                                      FORT LAUDERDALE,FL33301     US401 E LAS OLAS BLVD.,,1400
"LIAMS TRIAL GROUP, P.A.",ADOMP,1820 West Colonial Drive                                                            Orlando,FL32804     US1820 West Colonial Drive,,
"LIGHT: RULE OF LAW, ACCESS TO JUSTICE, ADVOCACY (COLLECTIVE) LLC",AFLAL,2291 AMERICUS BLVD W                                                                Clearwater,FL33763     US555 10th Street,,
"LIGHT: RULE OF LAW, ACCESS TO JUSTICE, ADVOCACY, INC.",ADOMNP,2291 Americus Blvd W                                                                Clearwater,FL33763     US555 10th Street,,
LINI INJURY LAW P.A.,IDOMP,3690 DAVIE BLVD                                                                     FORT LAUDERDALE,FL33312     US3690 DAVIE BLVD,,
"LITIGATION CENTER , II, P.A.",IDOMP,1850 CORAL WY                                                                       MIAMI,FL33145       1850 CORAL WY,,
LITIGATION CENTER P.A.,IDOMP,2828 Coral Way                            540                                       MIAMI,FL33145     US2828 Coral Way,,540
"LITIGATION CENTER, P.A.",IDOMP,3191 CORAL WAY                            SUITE 402                                 MIAMI,FL33145     US3191 CORAL WAY,,SUITE 402
"LITIGATION CONSULTING, P.A.",IDOMP,14140 Corrigan Avenue                                                               ORLANDO,FL32827     US14140 Corrigan Avenue,,
"LITIGATION GROUP, P.A.",IDOMP,4801 S UNIVERSITY DR                      270                                       DAVIE,FL33328       4801 S UNIVERSITY DR,,270
"LITIGATION GROUP, P.A.",ADOMP,112 Bartram Oaks Walk                     Suite 104                                 Saint Johns,FL32259     USPo Box 600519,,
LITIGATION SUPPORT SERVICES P.A.,IDOMP,"265 EAST MARION AVENUE,                   SUITE 115                                 PUNTA GORDA","FL33950     US265 EAST MARION AVENUE,",,SUITE 115
"LIVAN INJURY LAW, LLC",IFLAL,96512 GRANDE OAKS LN.                                                               FERNANDINA BEACH,FL32034       96512 GRANDE OAKS LN.,,
"LLES INJURY LAW, LLC",AFLAL,631 US HWY 1                              SUITE 203                                 North Palm Beach,FL33408     US631US HWY 1,,SUITE 203
LLIPS INJURY LAW PA,IDOMP,9326 ARBORWOOD CIRCLE                                                               DAVIE,FL33328       9326 ARBORWOOD CIRCLE,,
"LLMAN INJURY LAW, PA",ADOMP,7681 LAKE WORTH ROAD                                                                LAKE WORTH,FL33467     US7681 LAKE WORTH ROAD,,
"LLYN S. JUSTICE, CPA, P.A.",ADOMP,2130 47th Terrace                                                                   VERO BEACH,FL32966     US2130 47th Terrace,,
"LOR, WINSTON & JUSTICE, P.A.",IDOMP,2211 DAVIE BOULEVARD                                                                FORT LAUDERDALE,FL33312       2211 DAVIE BOULEVARD,,
"LOYMENT, INJURY & AVIATION LAW CENTER, P.A.",IDOMP,2727 ULMERTON ROAD                        SUITE 210                                 CLEARWATER,FL33762       2727 ULMERTON ROAD,,SUITE 210
LY INJURY LAW PLLC,AFLAL,2454 N. McMullen Booth road               Ste 700                                   Clearwater,FL33759     US2454 N. McMullen Booth r,oad,Ste 700
"M BEACH COUNTY BOARD CERTIFIED CIVIL TRIAL LAWYERS, INC.",IDOMP,1801 AUSTRALIAN AVENUE SOUTH              SUITE 200                                 WEST PALM BEACH,FL33409       1801 AUSTRALIAN AVENUE S,OUTH,SUITE 200
"M BEACH COUNTY TRIAL LAWYERS ASSOCIATION, INC.",IDOMP,"% JOSEPH M. CONSIDINE                     1655 PALM BEACH LAKES BLVD., SUITE 816    W. PALM BEACH",FL33401       % JOSEPH M. CONSIDINE,,1655 PALM BE
"M CITY LITIGATION GROUP, PLLC",AFLAL,4872 SW BIMINI CIR N                                                                PALM CITY,FL34990     US4872 SW BIMINI CIR N,,
"M COAST INJURY LAW, LLC",IFLAL,"389 PALM COAST PARKWAY, SW                SUITE 4                                   PALM COAST","FL32137       389 PALM COAST PARKWAY,",SW,SUITE 4
M INJURY LAW FIRM PROFESSIONAL ASSOCIATION,IDOMP,1505 S. TAMIAMI TR.                       SUITE 405                                 VENICE,FL34292       PO BOX 3420,,
MAN INJURY LAW PLLC,AFLAL,5700 Stirling Road                                                                  Hollywood,FL33021     US5700 Stirling Road,,
"MAS H. JUSTICE III, P.A.",ADOMP,3220 Chelsea Street                                                                 Orlando,FL32803     US3220 Chelsea Street,,
"MAT WHITT INJURY LAW, PLLC",AFLAL,539 GREELY STREET                                                                   ORLANDO,FL32804       539 GREELY STREET,,
"ME JUSTICE, P.A.",IDOMP,7241 DELAINEY COURT #7                                                              SARASOTA,FL34240     US13014 N DALE MABRY HWY #,329,
"MEL LITIGATION AND CONSULTING, PLLC",IFLAL,15500 ROOSEVELT BOULEVARD                 SUITE 305                                 CLEARWATER,FL33760       P.O. BOX 20876,,
"MEL TRIAL LAW, LLC",IFLAL,721 FIRST AVENUE NORTH                                                              SAINT PETERSBURG,FL33701       721 FIRST AVENUE NORTH,,
"MENTINE CONDE ACCIDENT INJURY LAWYER, LLC",IFLAL,6609 RIDGE ROAD                           2                                         PORT RICHEY,FL34668     USPO BOX 1174,,
"MERMAN & FRACHTMAN, P.A., PERSONAL INJURY ATTORNEYS",ADOMP,6991 NORTH STATE RD 7                     2ND FLOOR                                 PARKLAND,FL33073     US6991 NORTH STATE RD 7,,2ND FLOOR
"MI ACCIDENT ATTORNEYS, LLC",IFLAL,2601 SOUTH BAYSHORE DRIVE                 SUITE #850                                COCONUT GROVE,FL33133       2601 SOUTH BAYSHORE DRIV,E,SUITE #850
MI BEACH ACCIDENT ATTORNEYS LLC,IFLAL,777 WEST 41ST STREET                      401                                       MIAMI BEACH,FL33140       2101 W COMMERCIAL BLVD,,1500
MI CAR ACCIDENT LAWYER LLC,IFLAL,12228 QUILTING LANE                                                                 BOCA RATON,FL33428       12228 QUILTING LANE,,
